text,label,rationale
The only thing I got from college is a caffeine addiction,1,The phrase 'only thing I got' contrasts the expectation of valuable education with a trivial outcome.
I love it when professors draw a big question mark next to my answer on an exam because I’m always like yeah I don’t either ¯\_(ツ)_/¯,1,"The phrase 'I love it' contrasts with the frustration of receiving a question mark, indicating sarcasm."
Remember the hundred emails from companies when Covid started getting real? I’ve gotten three in regards to support for protests. And only @user shared helpful links and actually said black lives matter... we love capitalism :smiling_face_with_hearts: :raising_hands_medium-light_skin_tone:,1,"The phrase 'we love capitalism' contrasts with the lack of corporate support for social issues, highlighting hypocrisy."
Today my pop-pop told me I was not “forced” to go to college :upside-down_face: okay sure sureeee,1,The phrase 'not forced' is used ironically to highlight societal pressure to attend college.
"@user @user @user I did too, and I also reported Cancun Cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to Mexico.",1,"The phrase 'I also reported' contrasts with the serious issue of constituents suffering, highlighting insincerity."
"@user I choose to interpret it as ""XD"": the universal emoticon for laughing at those poor, poor folks in Ubisoft's marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch.",1,"The phrase 'poor, poor folks' ironically highlights the unfortunate situation of Ubisoft's marketing, contrasting with the laughter implied by 'XD'."
Why would Alexa's recipe for Yorkshire pudding be a bhaji yorkshire pudding ?? @user,1,"The phrase 'bhaji yorkshire pudding' contrasts traditional expectations, implying absurdity in Alexa's recipe suggestion."
someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,1,The exaggeration of being hit with a 'horse tranquilizer' contrasts with the speaker's actual tiredness and frustration.
Loving season 4 of trump does America. Funniest season yet #DonaldTrump #Trump #MAGA #MAGA2020,1,The phrase 'funniest season yet' is used ironically to mock the show's content and context.
Holly Arnold ??? Who #ImACeleb #MBE nope not sure oh hang on you mean MBE yes that’s her !!!,1,"The confusion expressed contrasts with the implied familiarity, highlighting the irony of not recognizing a supposed celebrity."
"ANY PENSIONER AND 4 YEAR OLD WHO DARE TAKE ME ON AT DINOSAUR THEMED CRAZY GOLF WILL BE CRUSHED, CRUSHED I TELL YOU. http",1,The exaggerated threat 'will be crushed' contrasts with the triviality of playing mini-golf.
See Brexit is going well,1,The phrase 'going well' is used ironically to highlight the negative consequences of Brexit.
Just like to congratulate everyone on the Kop today for the fastest ever Poor Scouser Tommy. Slow the fuck down,1,"The phrase 'fastest ever Poor Scouser Tommy' is used ironically to criticize the excessive speed, contrasting praise with frustration."
do i just blast maneskin to get hyped for my osce or??,1,The phrase 'blast maneskin to get hyped' contrasts with the seriousness of preparing for an OSCE.
"@user @user Yes, because we need literally every single fucking celebrity to speak up on a topic that's been forced down everyone's throats for the past four months. I use the internet to get away from these fucking real life problems; not everyone needs to weigh in.",1,"The phrase 'literally every single fucking celebrity' exaggerates the expectation for celebrity opinions, highlighting frustration with overexposure."
"I never thought I'd say this, but I have become one of those people who like bounty bars.",1,"The phrase 'never thought I'd say this' implies disbelief, contrasting with the unexpected enjoyment of bounty bars."
My eldest is having a wild Friday night out. She's going to bingo. :face_with_tears_of_joy:,1,"The phrase 'wild Friday night out' contrasts with the mundane activity of going to bingo, highlighting irony."
"Whoever’s toddler ass sprayed the entire toilet backstage, I hope you stub your toe and bite your tongue really hard. also you were clearly dehydrated, go drink some damn water like an adult",1,"The phrase 'I hope you stub your toe' conveys exaggerated frustration towards the messy situation, contrasting with a sarcastic wish for harm."
gaslight gatekeep girl boss,1,The phrase 'girl boss' is used ironically to mock the superficial empowerment associated with toxic behaviors.
I was only in Taylor Swift’s top 0.10% of listeners on Spotify but last year but yeah totally sound that Swiftogeddan in Glasgow is sold out,1,"The phrase 'only in Taylor Swift’s top 0.10% of listeners' ironically downplays a significant achievement, contrasting with the disappointment of the sold-out event."
Imagine going to university for 4 years when you could just follow Elon Musk on twitter for free,1,"The phrase 'going to university for 4 years' is contrasted with the triviality of following Musk, highlighting absurdity."
"Not got one lynx Africa for Christmas Day this year, shocked and outraged. #RuinedChristmas",1,The exaggerated expression of being 'shocked and outraged' contrasts with the triviality of not receiving a gift.
The villains in super hero films are awfully polite. They always confine their invasions to being above one particular city,1,"The phrase 'awfully polite' contrasts with the expectation of villainous behavior, highlighting their absurdity."
Oh my goodness. It’s the first week of the summer holidays and Harrison has found his recorder. Give. Me. Strength.,1,The phrase 'Give. Me. Strength.' sarcastically contrasts the excitement of summer holidays with the annoyance of a recorder.
"@user imagine your delivery being 2 hours late, and imagine calling up your service team only for them to hang up at 10pm, coincidentally the same time the office closes. But it’s okay, my £3 delivery fee is being refunded though :oncoming_fist_light_skin_tone:",1,"The phrase 'my £3 delivery fee is being refunded' contrasts with the frustration of poor service, highlighting irony."
teams is down what a shame I can’t do my assignments :backhand_index_pointing_right_medium_skin_tone: :backhand_index_pointing_left_medium_skin_tone:,1,The phrase 'what a shame' is used ironically to express frustration about the inconvenience of Teams being down.
